"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","YEAR_ADDED","RACE.ebs","SCIENTIFIC.ebs","COMMON.ebs","ECOPATH_Num.ebs","ECOPATH_Name.ebs","EXPLORE_Name.ebs","RACE.goa","SCIENTIFIC.goa","COMMON.goa","ECOPATH_Num.goa","ECOPATH_Name.goa","RACE.ai","SCIENTIFIC.ai","COMMON.ai","ECOPATH_Num.ai","ECOPATH_Name.ai","PHYLUM_TAXON","CLASS_TAXON","ORDER_TAXON","FAMILY_TAXON","GENUS_TAXON","SPECIES_TAXON","NODC","RACE","NORPAC","NAME","IDLEVEL","MSVPA_PRED","MSVPA_PREY","ECOPATH_PRED","ECOPATH_PREY.x","GOAPOLL_PRED","GOAPOLL_PREY","BSIERP_PRED","BSIERP_PREY","NODC_CODE","BASE_NAME","LENFEST_NAME","WEBSITE_NAME","CRAB_TEAM","ECOPATH_PREY.y","EBS_CRAB","GOA_MED","HUDSON","EGOA","TROY","SSC_2023"
71535,"Cryptonatica aleutica","Aleutian moonsnail",1984,71535,"Cryptonatica (=Natica) aleutica","Aleutian moonsnail",96,"snails","Snails",71535,"Cryptonatica aleutica","Aleutian moonsnail",92,"Snails",71535,"Cryptonatica aleutica","Aleutian moonsnail",93,"Snails","Mollusca","Gastropoda","Neotaenioglossa","Naticidae","Cryptonatica","aleutica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71537,"Cryptonatica russa","rusty moonsnail",1989,71537,"Natica russa","rusty moonsnail",96,"snails","Snails",71537,"Cryptonatica russa","rusty moonsnail",92,"Snails",71537,"Cryptonatica russa","rusty moonsnail",93,"Snails","Mollusca","Gastropoda","Neotaenioglossa","Naticidae","Cryptonatica","russa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71540,"Muricidae",NA,1984,NA,NA,NA,NA,NA,NA,71540,"Muricidae","(blank)",92,"Snails",71540,"Muricidae","",93,"Snails","Mollusca","Gastropoda","Neogastropoda","Muricidae",NA,NA,5105010000,71540,1,"Muricidae (Snail) ",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA",5105010000,"Muricidae (Snail) ","Gastropod","Gastropod","Gastropod","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
71541,"Nucella canaliculata","channelled dogwinkle",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mollusca","Gastropoda","Neogastropoda","Muricidae","Nucella","canaliculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71542,"Nucella lamellosa","frilled dogwinkle",1984,NA,NA,NA,NA,NA,NA,71542,"Nucella lamellosa","frilled dogwinkle",92,"Snails",NA,NA,NA,NA,NA,"Mollusca","Gastropoda","Neogastropoda","Muricidae","Nucella","lamellosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71570,"Lunatia lewisii","Lewis moonsnail",1984,71570,"Euspira (=Polinices) lewisi","(blank)",96,"snails","Snails",71570,"Euspira lewisii","(blank)",92,"Snails",NA,NA,NA,NA,NA,"Mollusca","Gastropoda","Neotaenioglossa","Naticidae","Euspira","lewisii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71575,"Euspira sp.",NA,1984,71575,"Euspira (=Polinices) sp.","(blank)",96,"snails","Snails",71575,"Euspira sp.","(blank)",92,"Snails",NA,NA,NA,NA,NA,"Mollusca","Gastropoda","Neotaenioglossa","Naticidae","Euspira",NA,5103760400,71575,NA,"snail Euspira sp",NA,NA,NA,NA,NA,NA,NA,NA,NA,5103760400,"snail Euspira sp","Gastropod","Gastropod","Gastropod","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
71580,"Lunatia pallida","pale moonsnail",1984,71580,"Euspira (=Polinices) pallidus","pale moonsnail",96,"snails","Snails",71580,"Euspira pallida","pale moonsnail",92,"Snails",NA,NA,NA,NA,NA,"Mollusca","Gastropoda","Neotaenioglossa","Naticidae","Lunatia","pallida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71585,"Onchidiopsis glacialis","icy lamellaria",1989,71585,"Onchidiopsis glacialis","icy lamellaria",96,"snails","Snails",NA,NA,NA,NA,NA,71585,"Onchidiopsis glacialis","icy lamellaria",93,"Snails","Mollusca","Gastropoda","Neotaenioglossa","Lamellariidae","Onchidiopsis","glacialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71586,"Capulacmaea commoda","widemouth lamellaria",1989,71586,"Capulacmaea commoda","widemouth lamellaria",96,"snails","Snails",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mollusca","Gastropoda","Neotaenioglossa","Velutinidae","Capulacmaea","commoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69325,"Paralithodes californiensis","California king crab",1987,NA,NA,NA,NA,NA,NA,69325,"Paralithodes californiensis","California king crab",85,"King Crab",NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes","californiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69329,"Cryptolithodes sp.",NA,1984,NA,NA,NA,NA,NA,NA,69329,"Cryptolithodes sp.","(blank)",86,"Misc. crabs",NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Lithodidae","Cryptolithodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69330,"Paralomis sp.",NA,1984,NA,NA,NA,NA,NA,NA,69330,"Paralomis sp.","(blank)",85,"King Crab",69330,"Paralomis sp.","",86,"King Crab","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralomis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69335,"Paralomis multispina","many spine spider crab",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69335,"Paralomis multispina","many spine spider crab",86,"King Crab","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralomis","multispina",6183080901,69335,1,"Paralomis multispina (crab)",0,NA,"MISC. PREY","Misc. Crab","Misc. Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183080901,"Paralomis multispina (crab)","Misc_Lithodidae","Misc Lithodidae","Misc Crab","Misc. Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69336,"Placetron wosnessenskii","scaled crab",1988,69336,"Placetron wosnessenskii","scaled crab",98,"misc_crabs","Misc. crabs",69336,"Placetron wosnessenskii","scaled crab",86,"Misc. crabs",69336,"Placetron wosnessenskii","scaled crab",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Lithodidae","Placetron","wosnessenskii",6183080501,69336,1,"Placetron wosnessenskii (scale crab)",0,NA,"MISC. PREY","Misc. Crab","Misc. Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183080501,"Placetron wosnessenskii (scale crab)","Misc_Lithodidae","Misc Lithodidae","Misc Crab","Misc. Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69400,"Erimacrus isenbeckii","horsehair crab",1984,69400,"Erimacrus isenbeckii","horsehair crab",98,"misc_crabs","Misc. crabs",69400,"Erimacrus isenbeckii","horsehair crab",86,"Misc. crabs",69400,"Erimacrus isenbeckii","horsehair crab",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Cheiragonidae","Erimacrus","isenbeckii",6188020201,69400,1,"Erimacrus isenbeckii (Korean horse-hair crab)",0,NA,"MISC. PREY","Misc. Crab","Misc. Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6188020201,"Erimacrus isenbeckii (Korean horse-hair crab)","Hair_crabs","Cancridea","Misc Crab","Misc. Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69520,"Hyas sp.",NA,1984,69520,"Hyas sp.","(blank)",98,"misc_crabs","Misc. crabs",69520,"Hyas sp.","(blank)",86,"Misc. crabs",69520,"Hyas sp.","",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Hyas",NA,6187010200,69520,1,"Hyas sp. (lyre crab)",0,NA,"MISC. PREY","Misc. Crab","Misc. Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6187010200,"Hyas sp. (lyre crab)","Hyas_crab","Misc Majidae","Misc Crab","Misc. Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69530,"Pugettia sp.","kelp crab",1984,NA,NA,NA,NA,NA,NA,69530,"Pugettia sp.","kelp crab",86,"Misc. crabs",69530,"Pugettia sp.","kelp crab",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Epialtidae","Pugettia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69531,"Pugettia gracilis","graceful kelp crab",1984,NA,NA,NA,NA,NA,NA,69531,"Pugettia gracilis","graceful kelp crab",86,"Misc. crabs",NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Epialtidae","Pugettia","gracilis",6187010503,69531,1,"Pugettia gracilis (kelp crab)",0,NA,"MISC. PREY","Misc. Crab","Misc. Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6187010503,"Pugettia gracilis (kelp crab)","Pugettia_crab","Misc Majidae","Misc Crab","Misc. Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69540,"Scyra acutifrons",NA,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Pisidae","Scyra","acutifrons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69550,"Galatheidae","galatheid crab unid.",1988,NA,NA,NA,NA,NA,NA,69550,"Galatheidae","galatheid crab unid.",86,"Misc. crabs",NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Galatheidae",NA,NA,6183100000,69550,1,"Galatheidae (pelagic slip crabs)",0,NA,"MISC. PREY","Misc. Crab","Misc. Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183100000,"Galatheidae (pelagic slip crabs)","Galatheoidea","Misc Anomura","Misc Crab","Misc. Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69554,"Chirostylus sp.",NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69554,"Chirostylus sp.","",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Chirostylidae","Chirostylus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69556,"Munida quadrispina","pinchbug",1988,NA,NA,NA,NA,NA,NA,69556,"Munida quadrispina","pinchbug",86,"Misc. crabs",69556,"Munida quadrispina","pinchbug",87,"Misc. crabs","Arthropoda","Malacostraca","Decapoda","Galatheidae","Munida","quadrispina",6183100101,69556,1,"Munida quadrispina (pinch bug)",0,NA,"MISC. PREY","Misc. Crab","Misc. Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183100101,"Munida quadrispina (pinch bug)","Galatheoidea","Misc Anomura","Misc Crab","Misc. Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69652,"Callianassa goniophthalma",NA,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Callianassidae","Callianassa","goniophthalma",6183040203,69652,1,"Callianassa goniopthalma (mud shrimp)",0,NA,"MISC. PREY","Misc. Crab","Misc. Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183040203,"Callianassa goniopthalma (mud shrimp)","Misc_Anomura","Misc Anomura","Misc Crab","Misc. Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69653,"Callianassa californiensis","ghost shrimp",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Callianassidae","Callianassa","californiensis",6183040204,69653,1,"Callianassa californiensis (ghost shrimp)",0,NA,"MISC. PREY","Misc. Crab","Misc. Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183040204,"Callianassa californiensis (ghost shrimp)","Misc_Anomura","Misc Anomura","Misc Crab","Misc. Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69655,"Upogebia pugettensis","blue mud shrimp",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda","Malacostraca","Decapoda","Upogebiidae","Upogebia","pugettensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69900,"Pycnogonida","sea spider unid.",1988,NA,NA,NA,NA,NA,NA,69900,"Pycnogonida","sea spider unid.",94,"Misc. Crustacean",69900,"Pycnogonida","sea spider unid.",95,"Misc. Crustacean","Arthropoda","Pycnogonida",NA,NA,NA,NA,6e+09,69900,1,"Pycnogonida (sea spider)",0,NA,"MISC. PREY","Misc. Crustacean","Misc. Crustacean",NA,"MISC. ZOOP",NA,"MISC. ZOOP",6e+09,"Pycnogonida (sea spider)","Pycnogonida","Misc Invert","Other","Misc. Crustacean","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
69911,"Colossendeis dofleini",NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69911,"Colossendeis dofleini","",95,"Misc. Crustacean","Arthropoda","Pycnogonida","Pantopoda","Colossendeidae","Colossendeis","dofleini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70000,"Mollusca","mollusk unid.",1989,70000,"Mollusca ","mollusk unident.",0,"gen_mollusc","Gen Mollusc",70000,"Mollusca","mollusk unid.",0,"Gen Mollusc",70000,"Mollusca","mollusk unid.",0,"Gen Mollusc","Mollusca",NA,NA,NA,NA,NA,5.085e+09,70000,1,"Mollusca",0,NA,"MISC. PREY","Gen. Mollusc","Gen. Mollusc",NA,"INFAUNA",NA,"INFAUNA",5.085e+09,"Mollusca","Misc_Mollusca","Misc Mollusca","Other","Gen. Mollusc","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
70100,"Polyplacophora","chiton unid.",2010,70100,"Polyplacophora unident.","chiton unident.",96,"snails","Snails",70100,"Polyplacophora","chiton unid.",92,"Snails",70100,"Polyplacophora","chiton unid.",93,"Snails","Mollusca","Polyplacophora",NA,NA,NA,NA,5.3e+09,70100,1,"Polyplacophora",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA",5.3e+09,"Polyplacophora","Polyplacophora","Misc Mollusca","Other","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
70108,"Cryptochiton stelleri","giant Pacific chiton",1990,70108,"Cryptochiton stelleri","giant Pacific chiton",96,"snails","Snails",70108,"Cryptochiton stelleri","giant Pacific chiton",92,"Snails",70108,"Cryptochiton stelleri","giant Pacific chiton",93,"Snails","Mollusca","Polyplacophora","Neoloricata","Acanthochitonidae","Cryptochiton","stelleri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70115,"Amicula vestita",NA,1989,70115,"Amicula vestita","(blank)",96,"snails","Snails",70115,"Amicula vestita","(blank)",92,"Snails",70115,"Amicula vestita","",93,"Snails","Mollusca","Polyplacophora","Neoloricata","Mopaliidae","Amicula","vestita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70119,"Placiphorella sp.",NA,1984,NA,NA,NA,NA,NA,NA,70119,"Placiphorella sp.","(blank)",92,"Snails",70119,"Placiphorella sp.","",93,"Snails","Mollusca","Polyplacophora","Neoloricata","Mopaliidae","Placiphorella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70125,"Leptochiton alveolus",NA,1995,NA,NA,NA,NA,NA,NA,70125,"Leptochiton alveolus","(blank)",92,"Snails",70125,"Leptochiton alveolus","",93,"Snails","Mollusca","Polyplacophora","Neoloricata","Leptochitonidae","Leptochiton","alveolus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71001,"gastropod egg","snail egg",1984,71001,"gastropod eggs","snail  eggs",96,"snails","Snails",71001,"gastropod eggs","snail  eggs",92,"Snails",71001,"gastropod egg","snail  egg",93,"Snails","Mollusca","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71002,"Buccinum sp. egg",NA,1993,71002,"Buccinum sp. Eggs","(blank)",96,"snails","Snails",71002,"Buccinum sp. eggs","(blank)",92,"Snails",71002,"Buccinum sp. egg","",93,"Snails","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Buccinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71003,"Fusitriton oregonensis egg",NA,1993,71003,"Fusitriton oregonensis eggs","(blank)",0,"shells","Shells",71003,"Fusitriton oregonensis eggs","(blank)",92,"Snails",71003,"Fusitriton oregonensis egg","",93,"Snails","Mollusca","Gastropoda","Neotaenioglossa","Ranellidae","Fusitriton","oregonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71010,"Nudibranchia","nudibranch unid.",2010,71010,"Nudibranchia unident.","nudibranch unident.",96,"snails","Snails",71010,"Nudibranchia","nudibranch unid.",92,"Snails",71010,"Nudibranchia","nudibranch unid.",93,"Snails","Mollusca","Gastropoda","Nudibranchia",NA,NA,NA,5.127e+09,71010,1,"Nudibranchia (sea slug)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA",5.127e+09,"Nudibranchia (sea slug)","Nudibranchia","Misc Mollusca","Other","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
71011,"Onchidoris bilamellata","barnacle-eating Onchidoris",1989,71011,"Onchidoris bilamellata","barnacle-eating onchidoris",96,"snails","Snails",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Onchidoris","bilamellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71012,"Tochuina gigantea","giant orange tochui",1984,71012,"Tochuina tetraquetra","giant orange tochui",96,"snails","Snails",71012,"Tochuina tetraquetra","giant orange tochui",92,"Snails",71012,"Tochuina gigantea","giant orange tochui",93,"Snails","Mollusca","Gastropoda","Nudibranchia","Tritoniidae","Tochuina","tetraquetra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71018,"Dendronotus sp.",NA,1984,71018,"Dendronotus sp.","(blank)",96,"snails","Snails",71018,"Dendronotus sp.","(blank)",92,"Snails",71018,"Dendronotus sp.","",93,"Snails","Mollusca","Gastropoda","Nudibranchia","Dendronotidae","Dendronotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71020,"Dendronotus dalli","Dall dendronotid",1984,71020,"Dendronotus dalli","Dall's dendronotid",96,"snails","Snails",71020,"Dendronotus dalli","Dall's dendronotid",92,"Snails",71020,"Dendronotus dalli","Dall dendronotid",93,"Snails","Mollusca","Gastropoda","Nudibranchia","Dendronotidae","Dendronotus","dalli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69035,"Pagurus sp.",NA,1984,69035,"Pagurus sp.","(blank)",97,"hermits","Hermit crabs",69035,"Pagurus sp.","(blank)",93,"Hermit crabs",69035,"Pagurus sp.","",94,"Hermit crabs","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus",NA,6183060200,69035,1,"Pagurus sp. (hermit crab)",0,NA,"MISC. PREY","Hermit Crab","Hermit Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183060200,"Pagurus sp. (hermit crab)","Pagurus_hermits","Paguridae","Misc Crab","Hermit Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69042,"Pagurus brandti","sponge hermit",1997,69042,"Pagurus brandti","sponge hermit ",97,"hermits","Hermit crabs",69042,"Pagurus brandti","sponge hermit",93,"Hermit crabs",69042,"Pagurus brandti","sponge hermit",94,"Hermit crabs","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","brandti",6183060221,69042,1,"Pagurus brandti (sponge hermit crab)",0,NA,"MISC. PREY","Hermit Crab","Hermit Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183060221,"Pagurus brandti (sponge hermit crab)","Pagurus_hermits","Paguridae","Misc Crab","Hermit Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69060,"Pagurus aleuticus","Aleutian hermit",1984,69060,"Pagurus aleuticus","Aleutian hermit",97,"hermits","Hermit crabs",69060,"Pagurus aleuticus","Aleutian hermit",93,"Hermit crabs",69060,"Pagurus aleuticus","Aleutian hermit",94,"Hermit crabs","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","aleuticus",6183060203,69060,1,"Pagurus aleuticus (aleutian hermit)",0,NA,"MISC. PREY","Hermit Crab","Hermit Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183060203,"Pagurus aleuticus (aleutian hermit)","Pagurus_hermits","Paguridae","Misc Crab","Hermit Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69061,"Labidochirus splendescens","splendid hermit",1984,69061,"Labidochirus splendescens","splendid hermit",97,"hermits","Hermit crabs",69061,"Labidochirus splendescens","splendid hermit",93,"Hermit crabs",69061,"Labidochirus splendescens","splendid hermit",94,"Hermit crabs","Arthropoda","Malacostraca","Decapoda","Paguridae","Labidochirus","splendescens",6183060401,69061,1,"Labidochirus splendescens (splendid hermit crab)",0,NA,"MISC. PREY","Hermit Crab","Hermit Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183060401,"Labidochirus splendescens (splendid hermit crab)","Labidochirus_hermits","Paguridae","Misc Crab","Hermit Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69070,"Pagurus confragosus","knobbyhand hermit",1997,69070,"Pagurus confragosus","knobbyhand hermit ",97,"hermits","Hermit crabs",69070,"Pagurus confragosus","knobbyhand hermit",93,"Hermit crabs",69070,"Pagurus confragosus","knobbyhand hermit",94,"Hermit crabs","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","confragosus",6183060216,69070,1,"Pagurus confragosus (knobby hand hermit)",0,NA,"MISC. PREY","Hermit Crab","Hermit Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183060216,"Pagurus confragosus (knobby hand hermit)","Pagurus_hermits","Paguridae","Misc Crab","Hermit Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69080,"Pagurus cornutus","hornyhand hermit",1984,69080,"Pagurus cornutus","(blank)",97,"hermits","Hermit crabs",69080,"Pagurus cornutus","hornyhand hermit",93,"Hermit crabs",69080,"Pagurus cornutus","hornyhand hermit",94,"Hermit crabs","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","cornutus",6183060218,69080,1,"Pagurus cornutus (corny hand hermit)",0,NA,"MISC. PREY","Hermit Crab","Hermit Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183060218,"Pagurus cornutus (corny hand hermit)","Pagurus_hermits","Paguridae","Misc Crab","Hermit Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69082,"Pagurus dalli","whiteknee hermit",1984,69082,"Pagurus dalli","whiteknee hermit",97,"hermits","Hermit crabs",69082,"Pagurus dalli","whiteknee hermit",93,"Hermit crabs",69082,"Pagurus dalli","whiteknee hermit",94,"Hermit crabs","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","dalli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69085,"Pagurus kennerlyi","bluespine hermit",1984,69085,"Pagurus kennerlyi","bluespine hermit",97,"hermits","Hermit crabs",69085,"Pagurus kennerlyi","bluespine hermit",93,"Hermit crabs",69085,"Pagurus kennerlyi","bluespine hermit",94,"Hermit crabs","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","kennerlyi",6183060207,69085,1,"Pagurus kennerlyi (blue spined hermit)",0,NA,"MISC. PREY","Hermit Crab","Hermit Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183060207,"Pagurus kennerlyi (blue spined hermit)","Pagurus_hermits","Paguridae","Misc Crab","Hermit Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
69086,"Pagurus trigonocheirus","fuzzy hermit crab",1984,69086,"Pagurus trigonocheirus","fuzzy hermit crab",97,"hermits","Hermit crabs",69086,"Pagurus trigonocheirus","fuzzy hermit crab",93,"Hermit crabs",69086,"Pagurus trigonocheirus","fuzzy hermit crab",94,"Hermit crabs","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","trigonocheirus",6183060219,69086,1,"Pagurus trigonocheirus (hermit crab)",0,NA,"MISC. PREY","Hermit Crab","Hermit Crab",NA,"MISC. CRAB",NA,"MISC. CRAB",6183060219,"Pagurus trigonocheirus (hermit crab)","Pagurus_hermits","Paguridae","Misc Crab","Hermit Crab","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
