RACE,SCIENTIFIC,COMMON,ECOPATH_Num,ECOPATH_Name
20000,Agonidae,poacher unid.,72,Misc. fish shallow
20015,Agonopsis vulsa,northern spearnose poacher,72,Misc. fish shallow
22270,Allocareproctus sp.,(blank),72,Misc. fish shallow
22274,Allocareproctus unangas,goldeneye snailfish,72,Misc. fish shallow
20322,Anarhichas orientalis,Bering wolffish,72,Misc. fish shallow
20320,Anarrhichthys ocellatus,wolf-eel,72,Misc. fish shallow
20055,Anoplagonus inermis,smooth alligatorfish,72,Misc. fish shallow
22175,Aptocyclus ventricosus,smooth lumpsucker,72,Misc. fish shallow
20050,Aspidophoroides bartoni,Aleutian alligatorfish,72,Misc. fish shallow
20035,Bathyagonus alascanus,gray starsnout,72,Misc. fish shallow
20036,Bathyagonus infraspinatus,spinycheek starsnout,72,Misc. fish shallow
20038,Bathyagonus nigripinnis,blackfin poacher,72,Misc. fish shallow
20037,Bathyagonus pentacanthus,bigeye poacher,72,Misc. fish shallow
20034,Bathyagonus sp.,starsnout poacher unid.,72,Misc. fish shallow
20712,Bathymaster caeruleofasciatus,Alaskan ronquil,72,Misc. fish shallow
20713,Bathymaster leurolepis,smallmouth ronquil,72,Misc. fish shallow
20720,Bathymaster signatus,searcher,72,Misc. fish shallow
20700,Bathymasteridae,ronquil unid.,72,Misc. fish shallow
22240,Careproctus candidus,bigeye snailfish,72,Misc. fish shallow
22235,Careproctus colletti,Alaska snailfish,72,Misc. fish shallow
22246,Careproctus comus,comic snailfish,72,Misc. fish shallow
22228,Careproctus cypselurus,blackfin snailfish,72,Misc. fish shallow
22229,Careproctus furcellus,emarginate snailfish,72,Misc. fish shallow
22233,Careproctus gilberti,smalldisk snailfish,72,Misc. fish shallow
22220,Careproctus melanurus,blacktail snailfish,72,Misc. fish shallow
22251,Careproctus ostentum,microdisk snailfish,72,Misc. fish shallow
22226,Careproctus phasma,monster snailfish,72,Misc. fish shallow
22236,Careproctus rastrinus,salmon snailfish,72,Misc. fish shallow
22219,Careproctus sp.,(blank),72,Misc. fish shallow
22234,Careproctus sp. cf. gilberti (Orr),dominator snailfish,72,Misc. fish shallow
22258,Careproctus sp. cf. rastrinus (Orr et al.),(blank),72,Misc. fish shallow
23791,Cryptacanthodes aleutensis,dwarf wrymouth,72,Misc. fish shallow
23792,Cryptacanthodes giganteus,giant wrymouth,72,Misc. fish shallow
22206,Crystallichthys cyclospilus,blotched snailfish,72,Misc. fish shallow
22170,Cyclopteridae,lumpsucker unid.,72,Misc. fish shallow
22215,Elassodiscus caudatus,humpback snailfish,72,Misc. fish shallow
22214,Elassodiscus sp.,(blank),72,Misc. fish shallow
22216,Elassodiscus tremebundus,blacklip snailfish,72,Misc. fish shallow
21735,Eleginus gracilis,saffron cod,72,Misc. fish shallow
22182,Eumicrotremus andriashevi,pimpled lumpsucker,72,Misc. fish shallow
22184,Eumicrotremus barbatus,papillose lumpsucker,72,Misc. fish shallow
22177,Eumicrotremus birulai,round lumpsucker,72,Misc. fish shallow
22180,Eumicrotremus gyrinops,Alaskan lumpsucker,72,Misc. fish shallow
22178,Eumicrotremus orbis,Pacific spiny lumpsucker,72,Misc. fish shallow
22190,Eumicrotremus phrynoides,toad lumpsucker,72,Misc. fish shallow
22183,Eumicrotremus sp.,spiny lumpsuckers,72,Misc. fish shallow
21752,Gasterosteus aculeatus,threespine stickleback,72,Misc. fish shallow
21770,Gobiidae,goby unid.,72,Misc. fish shallow
20071,Hypsagonus quadricornis,fourhorn poacher,72,Misc. fish shallow
21,Lampetra tridentata,Pacific lamprey,72,Misc. fish shallow
20006,Leptagonus frenatus,sawback poacher,72,Misc. fish shallow
20005,Leptagonus leptorhynchus,longnose poacher,72,Misc. fish shallow
20004,Leptagonus sp.,(blank),72,Misc. fish shallow
22176,Lethotremus muticus,docked snailfish,72,Misc. fish shallow
22173,Lethotremus sp.,(blank),72,Misc. fish shallow
22200,Liparidae,snailfish unid.,72,Misc. fish shallow
22204,Liparis dennyi,marbled snailfish,72,Misc. fish shallow
22205,Liparis gibbus,variegated snailfish,72,Misc. fish shallow
22210,Liparis ochotensis,Okhotsk snailfish,72,Misc. fish shallow
22208,Liparis pulchellus,showy snailfish,72,Misc. fish shallow
22201,Liparis sp.,(blank),72,Misc. fish shallow
21710,Microgadus proximus,Pacific tomcod,72,Misc. fish shallow
22255,Nectoliparis pelagicus,tadpole snailfish,72,Misc. fish shallow
20018,Odontopyxis trispinosa,pygmy poacher,72,Misc. fish shallow
22279,Paraliparis adustus,brown snailfish,72,Misc. fish shallow
22244,Paraliparis cephalus,swellhead snailfish,72,Misc. fish shallow
22241,Paraliparis dactylosus,red snailfish,72,Misc. fish shallow
22243,Paraliparis deani,prickly snailfish,72,Misc. fish shallow
22284,Paraliparis holomelas,ebony snailfish,72,Misc. fish shallow
22249,Paraliparis pectoralis,pectoral snailfish,72,Misc. fish shallow
22250,Paraliparis sp.,(blank),72,Misc. fish shallow
22276,Paraliparis sp. cf. dactylosus (Orr and Baldwin),(blank),72,Misc. fish shallow
22231,Paraliparis ulochir,broadfin snailfish,72,Misc. fish shallow
10,Petromyzontidae,lamprey unid.,72,Misc. fish shallow
20040,Podothecus accipenserinus,sturgeon poacher,72,Misc. fish shallow
20041,Podothecus veternus,veteran poacher,72,Misc. fish shallow
22262,Rhinoliparis attenuatus,slim snailfish,72,Misc. fish shallow
20702,Ronquilus jordani,northern ronquil,72,Misc. fish shallow
23932,Trachipterus altivelis,king-of-the-salmon,72,Misc. fish shallow
20022,Xeneretmus leiops,smootheye poacher,72,Misc. fish shallow
24001,Zaprora silenus,prowfish,72,Misc. fish shallow
10010,Citharichthys sordidus,Pacific sanddab,48,Misc. Flatfish
10020,Citharichthys stigmaeus,speckled sanddab,48,Misc. Flatfish
10190,Embassichthys bathybius,deepsea sole,48,Misc. Flatfish
10160,Eopsetta jordani,petrale sole,48,Misc. Flatfish
10270,Isopsetta isolepis,butter sole,48,Misc. Flatfish
10150,Lyopsetta exilis,slender sole,48,Misc. Flatfish
10170,Parophrys vetulus,English sole,48,Misc. Flatfish
10220,Platichthys stellatus,starry flounder,48,Misc. Flatfish
10221,Platichthys stellatus X Pleuronectes quadrituberculatus hybrid,hybrid starry flounder X Alaska plaice,48,Misc. Flatfish
10280,Pleuronichthys decurrens,curlfin sole,48,Misc. Flatfish
10250,Psettichthys melanostictus,sand sole,48,Misc. Flatfish
95010,(blank),bryozoan sp. A unid.,104,Misc. worms 
92400,Acoelida,acoel turbellarian,104,Misc. worms 
95036,Alcyonidium pedunculatum,(blank),104,Misc. worms 
95038,Alcyonidium sp.,(blank),104,Misc. worms 
95037,Alcyonidium sp. A,medusa bryozoan,104,Misc. worms 
97000,Brachiopoda,lampshell unid.,104,Misc. worms 
95000,Bryozoa,bryozoan unid.,104,Misc. worms 
95017,Bugula pacifica,(blank),104,Misc. worms 
95080,Celleporina ventricosa,coral bryozoan,104,Misc. worms 
92802,Cerebratulus californienesis,(blank),104,Misc. worms 
95105,Dendrobeania sp.,(blank),104,Misc. worms 
94500,Echiura,echiuroid worm unid.,104,Misc. worms 
92502,Emplectonema sp.,(blank),104,Misc. worms 
92505,Emplectonema sp. (Clark 2006),black specked ribbon worm,104,Misc. worms 
95060,Escharopsis sarsi,(blank),104,Misc. worms 
95020,Eucratea loricata,feathery bryozoan,104,Misc. worms 
95030,Flustra serrulata,leafy bryozoan,104,Misc. worms 
95035,Flustrellidra corniculata,(blank),104,Misc. worms 
97111,Frieleia halli,(blank),104,Misc. worms 
97120,Hemithiris psittacea,black brachiopod,104,Misc. worms 
95071,Hippoporina insculpta,(blank),104,Misc. worms 
59100,Hirudinea,leech unid.,104,Misc. worms 
97116,Laqueus californianus,California lamp shell,104,Misc. worms 
97117,Laqueus vancouverensis,Vancouver lampshell,104,Misc. worms 
95100,Microporina articulata,(blank),104,Misc. worms 
95102,Microporina sp.,(blank),104,Misc. worms 
95006,Myriapora orientalis,(blank),104,Misc. worms 
95040,Myriapora subgracilis,(blank),104,Misc. worms 
93500,Nematoda,nematode worm unid.,104,Misc. worms 
92500,Nemertea,nemertean worm unid.,104,Misc. worms 
59120,Notostomobdella sp.,(blank),104,Misc. worms 
59111,Notostomum cyclostomum,striped sea leech,104,Misc. worms 
59110,Notostomum sp.,(blank),104,Misc. worms 
94011,Phascolosomatidae,(blank),104,Misc. worms 
95015,Phidolopora pacifica,lattice-work bryozoan,104,Misc. worms 
92000,Platyhelminthes,flatworm unid.,104,Misc. worms 
92021,Polycladida,polyclad flatworm unid.,104,Misc. worms 
95050,Porella compressa,flattened bryozoan,104,Misc. worms 
95070,Rhamphostomella costata,ribbed bryozoan,104,Misc. worms 
94000,Sipuncula,peanut worm unid.,104,Misc. worms 
97110,Terebratalia transversa,common brachiopod,104,Misc. worms 
97100,Terebratulina sp.,(blank),104,Misc. worms 
97115,Terebratulina unguicula,snakeshead brachiopod,104,Misc. worms 
92512,Tubulanus sp. A (Clark 2006),(blank),104,Misc. worms 
22609,Diaphus sp.,(blank),78,Myctophidae
22610,Diaphus theta,California headlightfish,78,Myctophidae
22625,Lampanyctus jordani,brokenline lampfish,78,Myctophidae
22620,Lampanyctus sp.,(blank),78,Myctophidae
22600,Myctophidae,lanternfish unid.,78,Myctophidae
22624,Nannobrachium regale,pinpoint lampfish,78,Myctophidae
22623,Nannobrachium ritteri,broadfin lanternfish,78,Myctophidae
22648,Protomyctophum sp.,(blank),78,Myctophidae
22649,Protomyctophum thompsoni,northern flashlightfish,78,Myctophidae
22602,Stenobrachius leucopsarus,northern lampfish,78,Myctophidae
22603,Stenobrachius nannochir,garnet lampfish,78,Myctophidae
22601,Stenobrachius sp.,(blank),78,Myctophidae
22651,Tarletonbeania crenularis,blue lanternfish,78,Myctophidae
64000,Mysida,opossum shrimps,109,Mysids
64011,Neognathophausia gigas,giant red mysid,109,Mysids
64012,Neognathophausia ingens,red mysid,109,Mysids
64010,Neognathophausia sp.,(blank),109,Mysids
30420,Sebastes polyspinis,northern rockfish,60,Northern Rock
66575,Argis alaskensis,common argid,88,NP shrimp
66612,Argis crassa,rough argid,88,NP shrimp
66580,Argis dentata,Arctic argid,88,NP shrimp
66611,Argis lar,kuro argid,88,NP shrimp
66613,Argis levior,Nelson's argid,88,NP shrimp
66614,Argis ovifer,split-eye argid,88,NP shrimp
66570,Argis sp.,(blank),88,NP shrimp
66510,Crangon abyssorum,abyssal Crangon,88,NP shrimp
66512,Crangon alaskensis,shell shrimp,88,NP shrimp
66515,Crangon communis,twospine crangon,88,NP shrimp
66530,Crangon dalli,ridged crangon,88,NP shrimp
66517,Crangon franciscorum,California bay shrimp,88,NP shrimp
66548,Crangon septemspinosa,sevenspine bay shrimp,88,NP shrimp
66502,Crangon sp.,(blank),88,NP shrimp
66500,Crangonidae,crangonid shrimp unid.,88,NP shrimp
66171,Eualus barbatus,barbed eualid,88,NP shrimp
66190,Eualus biunguis,deepsea eualid,88,NP shrimp
66175,Eualus gaimardii,(blank),88,NP shrimp
66179,Eualus macilentus,Greenland shrimp,88,NP shrimp
66180,Eualus macrophthalmus,bigeye eualid,88,NP shrimp
66170,Eualus sp.,(blank),88,NP shrimp
66193,Eualus suckleyi,shortscale eualid,88,NP shrimp
66173,Eualus townsendi,Townsend eualid,88,NP shrimp
66150,Hippolytidae,hippolytid shrimp unid.,88,NP shrimp
66840,Hymenodora frontalis,Pacific ambereye,88,NP shrimp
66203,Lebbeus groenlandicus,spiny lebbeid,88,NP shrimp
66200,Lebbeus sp.,(blank),88,NP shrimp
66535,Metacrangon variabilis,deepsea spinyhead,88,NP shrimp
66815,Notostomus japonicus,spinyridge shrimp,88,NP shrimp
66615,Paracrangon echinata,horned shrimp,88,NP shrimp
66770,Pasiphaea pacifica,Pacific glass shrimp,88,NP shrimp
66772,Pasiphaea tarda,crimson pasiphaeid,88,NP shrimp
66750,Pasiphaeidae,pasiphaeid shrimp unid.,88,NP shrimp
66140,Penaeidae,penaeid shrimp unid.,88,NP shrimp
66604,Rhynocrangon sharpi,(blank),88,NP shrimp
66601,Sclerocrangon boreas,sculptured shrimp,88,NP shrimp
66005,Sergestes similis,Pacific sergestid,88,NP shrimp
66004,Sergestes sp.,(blank),88,NP shrimp
66003,Sergestidae,sergestid shrimp unid.,88,NP shrimp
66163,Spirontocaris lamellicornis,(blank),88,NP shrimp
78012,Benthoctopus leioderma,smoothskin octopus,73,Octopi 
78455,Benthoctopus oregonensis,(blank),73,Octopi 
78452,Benthoctopus sp.,(blank),73,Octopi 
78000,Cephalopoda,cephalopod unid.,0,Octopi 
78403,Enteroctopus dofleini,giant octopus,73,Octopi 
78022,Japetella diaphana,(blank),73,Octopi 
78023,Japetella sp.,(blank),73,Octopi 
78010,Octopodidae,octopus unid.,73,Octopi 
78210,Octopus californicus,North Pacific bigeye octopus,73,Octopi 
78404,Octopus rubescens,(blank),73,Octopi 
78020,Octopus sp.,(blank),73,Octopi 
78030,Opisthoteuthis californiana,flapjack devilfish,73,Octopi 
78502,Vampyroteuthis infernalis,vampire squid,73,Octopi 
23809,Acantholumpenus mackayi,pighead prickleback,82,Oth. managed forage
23861,Bryozoichthys lysimus,nutcracker prickleback,82,Oth. managed forage
23862,Bryozoichthys marjorius,pearly prickleback,82,Oth. managed forage
23841,Chirolophis decoratus,decorated warbonnet,82,Oth. managed forage
23843,Chirolophis snyderi,bearded warbonnet,82,Oth. managed forage
23840,Chirolophis sp.,(blank),82,Oth. managed forage
23844,Chirolophis tarsodes,matcheek warbonnet,82,Oth. managed forage
21810,Cyclothone sp.,(blank),82,Oth. managed forage
21800,Gonostomatidae,bristlemouth unid.,82,Oth. managed forage
23836,Lumpenella longirostris,longsnout prickleback,82,Oth. managed forage
23807,Lumpenus fabricii,slender eelblenny,82,Oth. managed forage
23805,Lumpenus maculatus,daubed shanny,82,Oth. managed forage
23806,Lumpenus medius,stout eelblenny,82,Oth. managed forage
23808,Lumpenus sagitta,snake prickleback,82,Oth. managed forage
23801,Lumpenus sp.,(blank),82,Oth. managed forage
23871,Pholidae,gunnel unid.,82,Oth. managed forage
23873,Pholis laeta,crescent gunnel,82,Oth. managed forage
23850,Poroclinus rothrocki,whitebarred prickleback,82,Oth. managed forage
21805,Sigmops gracilis,slender fangjaw,82,Oth. managed forage
23800,Stichaeidae,prickleback unid.,82,Oth. managed forage
23804,Stichaeus punctatus,Arctic shanny,82,Oth. managed forage
21592,Trichodon trichodon,Pacific sandfish,82,Oth. managed forage
20573,Argentina sialis,Pacific argentine,83,Oth. pelagic smelt
20571,Argentinidae,argentine unid.,83,Oth. pelagic smelt
23562,Cololabis saira,Pacific saury,83,Oth. pelagic smelt
23020,Hypomesus pretiosus,surf smelt,83,Oth. pelagic smelt
20572,Nansenia candida,bluethroat argentine,83,Oth. pelagic smelt
23055,Osmerus mordax,rainbow smelt,83,Oth. pelagic smelt
21130,Sardinops sagax,Pacific sardine,83,Oth. pelagic smelt
23060,Spirinchus starksi,night smelt,83,Oth. pelagic smelt
23061,Spirinchus thaleichthys,longfin smelt,83,Oth. pelagic smelt
21359,Archistes biseriatus,scaled sculpin,71,Other sculpins
21331,Artediellus sp.,(blank),71,Other sculpins
21363,Artedius lateralis,smoothhead sculpin,71,Other sculpins
21397,Blepsias bilobus,crested sculpin,71,Other sculpins
21337,Bolinia euryptera,broadfin sculpin,71,Other sculpins
21366,Chitonotus pugetensis,roughback sculpin,71,Other sculpins
21300,Cottidae,sculpin unid.,71,Other sculpins
21390,Dasycottus setiger,spinyhead sculpin,71,Other sculpins
21386,Enophrys bison,buffalo sculpin,71,Other sculpins
21388,Enophrys diceraus,antlered sculpin,71,Other sculpins
21423,Eurymen gyrinus,smoothcheek sculpin,71,Other sculpins
21383,Gilbertidia sigalutes,soft sculpin,71,Other sculpins
21316,Gymnocanthus galeatus,armorhead sculpin,71,Other sculpins
21314,Gymnocanthus pistilliger,threaded sculpin,71,Other sculpins
21313,Gymnocanthus sp.,(blank),71,Other sculpins
21315,Gymnocanthus tricuspis,Arctic staghorn sculpin,71,Other sculpins
21311,Icelinus borealis,northern sculpin,71,Other sculpins
21437,Icelinus burchami,dusky sculpin,71,Other sculpins
21310,Icelinus filamentosus,threadfin sculpin,71,Other sculpins
21307,Icelinus sp.,(blank),71,Other sculpins
21312,Icelinus tenuis,spotfin sculpin,71,Other sculpins
21440,Icelus euryops,wide-eye sculpin,71,Other sculpins
21446,Icelus sp.,(blank),71,Other sculpins
21441,Icelus spatula,spatulate sculpin,71,Other sculpins
21438,Icelus spiniger,thorny sculpin,71,Other sculpins
21443,Icelus uncinalis,uncinate sculpin,71,Other sculpins
21445,Jordania zonope,longfin sculpin,71,Other sculpins
21380,Leptocottus armatus,Pacific staghorn sculpin,71,Other sculpins
21338,Malacocottus aleuticus,whitetail sculpin,71,Other sculpins
21339,Malacocottus sp.,(blank),71,Other sculpins
21341,Malacocottus zonurus,darkfin sculpin,71,Other sculpins
21377,Myoxocephalus quadricornis,fourhorn sculpin,71,Other sculpins
21406,Nautichthys oculofasciatus,sailfin sculpin,71,Other sculpins
21405,Nautichthys pribilovius,eyeshade sculpin,71,Other sculpins
21447,Paricelinus hopliticus,thornback sculpin,71,Other sculpins
21394,Psychrolutes paradoxus,tadpole sculpin,71,Other sculpins
21395,Psychrolutes phrictus,blob sculpin,71,Other sculpins
21393,Psychrolutes sp.,(blank),71,Other sculpins
21320,Radulinus asprellus,slim sculpin,71,Other sculpins
21444,Rastrinus scutiger,roughskin sculpin,71,Other sculpins
21415,Rhamphocottus richardsoni,grunt sculpin,71,Other sculpins
21308,Thyriscus anoplus,sponge sculpin,71,Other sculpins
21352,Triglops forficata,scissortail sculpin,71,Other sculpins
21356,Triglops macellus,roughspine sculpin,71,Other sculpins
21353,Triglops metopias,highbrow sculpin,71,Other sculpins
21355,Triglops pingeli,ribbed sculpin,71,Other sculpins
21354,Triglops scepticus,spectacled sculpin,71,Other sculpins
21350,Triglops sp.,(blank),71,Other sculpins
21429,Triglops xenostethus,scalybreasted sculpin,71,Other sculpins
30590,(blank),red rockfish unid.,66,Other Sebastes
30630,Sebastes (Sebastomus) sp.,white spotted red rockfish unid.,66,Other Sebastes
30090,Sebastes aurora,aurora rockfish,66,Other Sebastes
30475,Sebastes babcocki,redbanded rockfish,66,Other Sebastes
30100,Sebastes brevispinis,silvergray rockfish,66,Other Sebastes
30120,Sebastes caurinus,copper rockfish,66,Other Sebastes
30170,Sebastes crameri,darkblotched rockfish,66,Other Sebastes
30190,Sebastes diploproa,splitnose rockfish,66,Other Sebastes
30200,Sebastes elongatus,greenstriped rockfish,66,Other Sebastes
30210,Sebastes emphaeus,Puget Sound rockfish,66,Other Sebastes
30220,Sebastes entomelas,widow rockfish,66,Other Sebastes
30240,Sebastes flavidus,yellowtail rockfish,66,Other Sebastes
30270,Sebastes helvomaculatus,rosethorn rockfish,66,Other Sebastes
30320,Sebastes maliger,quillback rockfish,66,Other Sebastes
30330,Sebastes melanops,black rockfish,66,Other Sebastes
30340,Sebastes melanostomus,blackgill rockfish,66,Other Sebastes
30350,Sebastes miniatus,vermilion rockfish,66,Other Sebastes
30360,Sebastes mystinus,blue rockfish,66,Other Sebastes
30380,Sebastes nigrocinctus,tiger rockfish,66,Other Sebastes
30400,Sebastes paucispinis,bocaccio,66,Other Sebastes
30410,Sebastes pinniger,canary rockfish,66,Other Sebastes
30430,Sebastes proriger,redstripe rockfish,66,Other Sebastes
30600,Sebastes reedi,yellowmouth rockfish,66,Other Sebastes
30470,Sebastes ruberrimus,yelloweye rockfish,66,Other Sebastes
30575,Sebastes rufus,bank rockfish,66,Other Sebastes
30490,Sebastes saxicola,stripetail rockfish,66,Other Sebastes
30510,Sebastes serranoides,olive rockfish,66,Other Sebastes
30040,Sebastes sp.,rockfish unid.,66,Other Sebastes
30535,Sebastes variegatus,harlequin rockfish,66,Other Sebastes
30550,Sebastes wilsoni,pygmy rockfish,66,Other Sebastes
30030,Sebastolobus altivelis,longspine thornyhead,66,Other Sebastes
30025,Sebastolobus macrochir,broadfin thornyhead,66,Other Sebastes
30010,Sebastolobus sp.,thornyhead unid.,66,Other Sebastes
401,(blank),skate egg case unid.,49,Other skates
410,Bathyraja abyssicola,deepsea skate,49,Other skates
472,Bathyraja aleutica,Aleutian skate,49,Other skates
473,Bathyraja aleutica egg case,Aleutian skate egg case,49,Other skates
435,Bathyraja interrupta,Bering skate,49,Other skates
436,Bathyraja interrupta egg case,(blank),49,Other skates
475,Bathyraja lindbergi,Commander skate,49,Other skates
480,Bathyraja maculata,whiteblotched skate,49,Other skates
481,Bathyraja maculata egg case,whiteblotched skate egg case,49,Other skates
483,Bathyraja mariposa,butterfly skate,49,Other skates
484,Bathyraja mariposa egg case,Butterfly skate egg case,49,Other skates
485,Bathyraja minispinosa,whitebrow skate,49,Other skates
486,Bathyraja minispinosa egg case,whitebrow skate egg case,49,Other skates
471,Bathyraja parmifera,Alaska skate,49,Other skates
474,Bathyraja parmifera egg case,Alaska skate egg case,49,Other skates
405,Bathyraja sp.,(blank),49,Other skates
402,Bathyraja sp. egg case,(blank),49,Other skates
455,Bathyraja taranetzi,mud skate,49,Other skates
456,Bathyraja taranetzi egg case,mud skate egg case,49,Other skates
460,Bathyraja trachura,roughtail skate,49,Other skates
461,Bathyraja trachura egg case,(blank),49,Other skates
404,Raja sp.,(blank),49,Other skates
403,Raja sp. egg case,(blank),49,Other skates
450,Raja stellulata,starry skate,49,Other skates
400,Rajidae,skate unid.,49,Other skates
21720,Gadus macrocephalus,Pacific cod,33,P. Cod
10120,Hippoglossus stenolepis,Pacific halibut,39,P. Halibut
66019,Pandalidae,pandalid shrimp unid.,87,Pandalidae
66130,Pandalopsis ampla,(blank),87,Pandalidae
66120,Pandalopsis dispar,sidestripe shrimp,87,Pandalidae
66061,Pandalopsis longirostris,(blank),87,Pandalidae
66059,Pandalopsis sp.,(blank),87,Pandalidae
66025,Pandalus danae,dock shrimp,87,Pandalidae
66031,Pandalus eous,Alaskan pink shrimp,87,Pandalidae
66045,Pandalus goniurus,humpy shrimp,87,Pandalidae
66050,Pandalus hypsinotus,coonstripe shrimp,87,Pandalidae
66030,Pandalus jordani,ocean shrimp,87,Pandalidae
66040,Pandalus platyceros,spot shrimp,87,Pandalidae
66020,Pandalus sp.,(blank),87,Pandalidae
66055,Pandalus stenolepis,roughpatch shrimp,87,Pandalidae
66033,Pandalus tridens,yellowleg pandalid,87,Pandalidae
50010,(blank),tube worm unid.,103,Polychaetes
59000,(blank),bristle worm unid.,103,Polychaetes
50192,Aphrodita negligens,(blank),103,Polychaetes
50161,Aphrodita sp.,(blank),103,Polychaetes
50160,Aphroditidae,sea mouse unid.,103,Polychaetes
50013,Chaetopterus sp.,(blank),103,Polychaetes
54030,Cheilonereis cyclurus,(blank),103,Polychaetes
50005,Eunice valens,(blank),103,Polychaetes
56312,Eunoe depressa,depressed scale worm,103,Polychaetes
56311,Eunoe nodosa,giant scale worm,103,Polychaetes
56310,Eunoe sp.,(blank),103,Polychaetes
50205,Euphrosine multibranchiata,(blank),103,Polychaetes
56321,Gattyana ciliata,(blank),103,Polychaetes
52715,Glycera sp.,(blank),103,Polychaetes
50201,Halosydna brevisetosa,(blank),103,Polychaetes
54000,Nereididae,(blank),103,Polychaetes
54010,Nereis sp.,(blank),103,Polychaetes
50215,Onuphis conchylega,gravel tube worm,103,Polychaetes
50000,Polychaeta,polychaete worm unid.,103,Polychaetes
56300,Polynoidae,scale worm unid.,103,Polychaetes
57000,Sabellidae,sabellid unid.,103,Polychaetes
57411,Serpula columbiana,(blank),103,Polychaetes
57412,Serpula sp.,(blank),103,Polychaetes
57410,Serpula vermicularis,(blank),103,Polychaetes
57409,Serpulidae,serpulid worm,103,Polychaetes
50021,Spinther sp. A (Clark 2006),(blank),103,Polychaetes
50221,Travisia pupa,(blank),103,Polychaetes
30060,Sebastes alutus,Pacific ocean perch,58,POP
10200,Glyptocephalus zachirus,rex sole,47,Rex Sole
30050,(blank),rougheye and blackspotted rockfish unid.,63,Rougheye Rock
30051,Sebastes aleutianus,rougheye rockfish,63,Rougheye Rock
30052,Sebastes melanostictus,blackspotted rockfish,63,Rougheye Rock
10262,Lepidopsetta bilineata,southern rock sole,44,S. Rock sole
10261,Lepidopsetta polyxystra,northern rock sole,44,S. Rock sole
10260,Lepidopsetta sp.,rock sole unid.,44,S. Rock sole
20510,Anoplopoma fimbria,sablefish,53,Sablefish
23230,Oncorhynchus gorbuscha,pink salmon,75,Salmon returning
23235,Oncorhynchus keta,chum salmon,75,Salmon returning
23225,Oncorhynchus kisutch,coho salmon,75,Salmon returning
23240,Oncorhynchus nerka,sockeye salmon,75,Salmon returning
23202,Oncorhynchus sp.,salmon unid.,75,Salmon returning
23220,Oncorhynchus tshawytscha,chinook salmon,75,Salmon returning
23201,Salmonidae,salmon and trouts unid.,75,Salmon returning
23252,Salvelinus malma,Dolly Varden,75,Salmon returning
232,Lamna ditropis,salmon shark,28,Salmon shark
20203,Ammodytes hexapterus,Arctic sand lance,80,Sandlance
20204,Ammodytes personatus,Pacific sand lance,80,Sandlance
20202,Ammodytes sp.,sand lance unid.,80,Sandlance
40506,Aequorea sp.,(blank),105,Scyphozoid Jellies
40510,Atolla sp.,(blank),105,Scyphozoid Jellies
40513,Aurelia aurita,(blank),105,Scyphozoid Jellies
40512,Aurelia labiata,(blank),105,Scyphozoid Jellies
40520,Aurelia limbata,brown rimmed jelly,105,Scyphozoid Jellies
40511,Aurelia sp.,(blank),105,Scyphozoid Jellies
40515,Chrysaora fuscescens,sea nettle,105,Scyphozoid Jellies
40504,Chrysaora melanaster,(blank),105,Scyphozoid Jellies
40501,Chrysaora sp.,chrysaora jellyfish,105,Scyphozoid Jellies
40561,Cyanea capillata,lion's mane,105,Scyphozoid Jellies
40560,Cyanea sp.,(blank),105,Scyphozoid Jellies
40061,Neoturris breviconis,blob-top jelly,105,Scyphozoid Jellies
40503,Periphylla periphylla,helmet jelly,105,Scyphozoid Jellies
40502,Periphylla sp.,(blank),105,Scyphozoid Jellies
40505,Phacellophora camtschatica,egg yolk jelly,105,Scyphozoid Jellies
40500,Scyphozoa,jellyfish unid.,105,Scyphozoid Jellies
42020,Anthoptilum grandiflorum,(blank),100,Sea Pens
42021,Anthoptilum murrayi,Murray sea pen,100,Sea Pens
42006,Balticina sp.,(blank),100,Sea Pens
42013,Halipteris californica,(blank),100,Sea Pens
42010,Halipteris finmarchia,(blank),100,Sea Pens
42008,Halipteris sp.,(blank),100,Sea Pens
42009,Halipteris sp. A (Stone 2015),maroon sea whip,100,Sea Pens
42012,Halipteris willemoesi,(blank),100,Sea Pens
42015,Ombellula sp.,(blank),100,Sea Pens
42000,Pennatulacea,sea pen or sea whip unid.,100,Sea Pens
42007,Protoptilum sp.,(blank),100,Sea Pens
42017,Ptilosarcus gurneyi,orange sea pen,100,Sea Pens
42004,Stylatula sp.,slender seawhips,100,Sea Pens
42001,Virgularia sp.,smoothstem seawhip,100,Sea Pens
42003,Virgulariidae,sea whip unid.,100,Sea Pens
80182,Ampheraster marianus,(blank),89,Sea stars
81742,Asterias amurensis,purple-orange sea star,89,Sea stars
81741,Asterias sp.,(blank),89,Sea stars
80000,Asteroidea,sea star unid.,89,Sea stars
82001,Brisingella exilis,(blank),89,Sea stars
82002,Brisingella sp.,(blank),89,Sea stars
82003,Brisingidae,brisingid sea star,89,Sea stars
80731,Ceramaster arcticus,Arctic bat sea star,89,Sea stars
80732,Ceramaster clarki,(blank),89,Sea stars
80729,Ceramaster japonicus,red bat star,89,Sea stars
80730,Ceramaster patagonicus,orange bat sea star,89,Sea stars
80728,Ceramaster sp.,(blank),89,Sea stars
80733,Ceramaster stellatus,(blank),89,Sea stars
